銘柄CD,銘柄名,取得日時,区分,PER(予),PBR(実),ROE(実),配当(予),直近株価,目標株価,売上高,出来高,-比(5d),-比(20d),乖離(5d),乖離(25d),純利,総資産,自己資本,自資比,売上高利益率,総資本回転率,財務レバレッジ
8035.T,東京エレクトロン,09-16 13:40,半導体装置,40.126545,10.898982,30.93,748.0,51370.0,76808.695,2626335014912,1353600,0.46,0.49,-0.14,-6.14,620993970176,2860997000000.0,2069994000000.0,72.35,23.64,0.92,1.38
6146.T,ディスコ,09-16 13:40,半導体装置,37.57697,9.52823,27.38,547.0,51140.0,83130.0,461283000320,790000,0.66,0.6,-1.48,-11.55,145975001088,743410000000.0,587758000000.0,79.06,31.64,0.62,1.26
6920.T,レーザーテック,09-16 13:40,半導体装置,32.467472,12.875551,33.93,422.0,35460.0,48568.75,230485000192,1779800,0.6,0.63,0.5,0.44,77484998656,329601000000.0,209898000000.0,63.68,33.62,0.7,1.57
6857.T,アドバンテスト,09-16 13:40,半導体装置,128.63333,21.233456,56.89,60.0,30580.0,41838.094,1232306962432,4714800,0.56,0.56,-2.9,-10.15,459953012736,1171816000000.0,795726000000.0,67.91,37.33,1.05,1.47
7735.T,SCREENホールディングス,09-16 13:40,半導体装置,14.2963295,4.756556,18.87,246.0,12505.0,17756.25,591737978880,994300,0.67,0.58,0.77,-5.53,85805998080,722421000000.0,486568000000.0,67.35,14.5,0.82,1.48
6367.T,ダイキン工業,09-16 13:40,空調・機械,20.671547,1.903872,9.6,360.0,20470.0,24138.152,5228024823808,328100,0.39,0.33,-0.83,-1.81,273838997504,5809240000000.0,3254652000000.0,56.03,5.24,0.9,1.78
6227.T,AIメカテック,09-16 13:40,半導体装置,22.356253,7.218267,28.09,22.0,5560.0,11700.0,35243999232,700900,0.71,0.79,-2.46,-9.49,3560000000,27373524000.0,10861128000.0,39.68,10.1,1.29,2.52
6963.T,ローム,09-16 13:40,電子部品,52.64127,2.2809532,,50.0,4574.0,5800.0,500681998336,1290400,0.45,0.44,-0.32,-4.92,-152403001344,1283559000000.0,757963000000.0,59.05,-30.44,0.39,1.69
6758.T,ソニーグループ,09-16 13:40,電機・娯楽,20.29476,2.6088116,13.16,35.0,3718.0,4865.909,12695775477760,4912800,0.43,0.37,0.47,-2.2,1114027065344,15683490000000.0,8119011000000.0,51.77,-1.75,0.81,1.93
6723.T,ルネサスエレクトロニクス,09-16 13:40,半導体メーカー,11.422081,2.0579443,13.95,28.0,3209.0,5065.385,1485643055104,3346600,0.43,0.35,-0.04,-5.7,340912013312,4177163000000.0,2443034000000.0,58.49,22.95,0.36,1.71
6976.T,太陽誘電,09-16 13:40,電子部品,49.420685,3.273877,5.33,90.0,9256.0,15437.5,364428001280,20773100,0.71,0.76,1.09,-2.24,18186000384,615536000000.0,344412000000.0,55.95,4.99,0.59,1.79
6981.T,村田製作所,09-16 13:40,電子部品,31.988873,5.007878,10.06,70.0,7590.0,10222.223,1916966010880,14807700,0.72,0.74,2.48,2.93,265492004864,3199099000000.0,2718743000000.0,84.98,13.85,0.6,1.18
4063.T,信越化学工業,09-16 13:40,化学・材料,17.605312,2.3681688,11.23,116.0,5805.0,7774.706,2607843901440,3256800,0.6,0.57,0.96,-2.72,478859984896,5661907000000.0,4464428000000.0,78.85,18.36,0.46,1.27
4062.T,イビデン,09-16 13:40,電子部品,61.3348,9.292696,12.65,20.0,18950.0,24847.059,441956007936,4712200,0.64,0.63,-2.77,-6.32,68903002112,960425000000.0,550071000000.0,57.27,15.59,0.46,1.75
4043.T,徳山,09-16 13:40,化学・材料,9.947233,1.0491527,,144.0,4185.0,4856.6665,353301987328,303500,0.75,0.63,2.76,3.13,22498000896,557432000000.0,283085000000.0,50.78,,0.63,1.97
5332.T,TOTO,09-16 13:40,機械・陶磁器,23.263533,1.742372,7.42,120.0,5677.0,7852.5,740305010688,371000,0.39,0.4,-0.81,-7.76,40855998464,827483000000.0,528226000000.0,63.84,5.52,0.89,1.57
5333.T,日本ガイシ,09-16 13:40,機械・陶磁器,25.927225,1.7979635,9.24,106.0,5173.0,6987.143,687814017024,559500,0.41,0.4,2.0,-3.76,71410999296,1243330000000.0,809236000000.0,65.09,10.38,0.55,1.54
6645.T,オムロン,09-16 13:40,電機・制御機器,22.603018,1.4479085,5.13,104.0,6127.0,6950.0,810734977024,706300,0.66,0.62,1.9,-4.06,43470999552,1516263000000.0,835885000000.0,55.13,4.26,0.53,1.81
6501.T,日立製作所,09-16 13:40,電機・インフラ,30.14652,3.663796,,56.0,5370.0,6507.143,11038041833472,4469400,0.57,0.5,2.1,0.07,799613976576,15041246000000.0,6568369000000.0,43.67,7.24,0.73,2.29
6503.T,三菱電機,09-16 13:40,電機・インフラ,31.203827,2.3072207,10.28,60.0,5153.0,6813.3335,6078959976448,1472300,0.31,0.27,1.05,-6.17,426648993792,7357512000000.0,4484266000000.0,60.95,7.02,0.83,1.64
6506.T,安川電機,09-16 13:41,電機・機械,21.299234,2.3335013,7.51,72.0,4364.0,6610.0,555461967872,1769500,0.54,0.52,0.59,-8.29,33732999168,812365000000.0,483542000000.0,59.52,6.07,0.68,1.68
6326.T,クボタ,09-16 13:41,機械,14.32019,1.1359583,10.01,52.0,2818.5,3200.0,3254238052352,2028300,0.57,0.44,1.12,0.46,267889000448,6204909000000.0,2622985000000.0,42.27,8.23,0.52,2.37
6861.T,キーエンス,09-16 13:41,電機・計測器,40.42005,5.1583924,,550.0,75480.0,97866.664,1254834044928,240600,0.46,0.5,-0.58,-5.95,492202000384,3670655000000.0,3471471000000.0,94.57,39.22,0.34,1.06
6855.T,日本電子材料,09-16 13:41,半導体材料,21.373058,2.0819519,17.81,100.0,6600.0,,33570000896,236500,0.58,0.49,1.16,0.36,6632000000,58476000000.0,44878000000.0,76.75,19.76,0.57,1.3
7729.T,東京精密,09-16 13:41,半導体装置,26.916456,3.4922569,14.4,304.0,16415.0,21025.0,172679004160,83200,0.38,0.27,0.16,-5.98,26176999424,250533000000.0,191696000000.0,76.52,15.16,0.69,1.31
6762.T,TDK,09-16 13:41,電子部品,26.702845,2.356444,11.63,40.0,2854.0,4157.8125,2710071934976,3190200,0.41,0.4,0.76,-4.5,234781999104,4415175000000.0,2187234000000.0,49.54,8.66,0.61,2.02
6770.T,アルプスアルパイン,09-16 13:41,電子部品,20.988691,0.9854149,6.24,64.0,2246.0,2297.1428,1018427998208,510300,0.37,0.33,1.41,1.63,26114000896,783152000000.0,447532000000.0,57.14,2.56,1.3,1.75
6954.T,ファナック,09-16 13:41,機械・ロボット,33.46427,2.8564243,10.05,107.09,5793.0,7351.1113,892502999040,1280100,0.31,0.29,0.52,-3.51,179680002048,2090700000000.0,1864871000000.0,89.2,20.13,0.43,1.12
6902.T,デンソー,09-16 13:41,自動車部品,9.931542,0.9389957,9.2,74.0,1915.0,2118.889,7699706150912,2899100,0.5,0.46,0.34,-0.3,432361996288,8730854000000.0,5492689000000.0,62.91,5.61,0.88,1.59
6644.T,大崎電気工業,09-16 13:41,電機,19.455511,1.1275588,11.73,40.0,1465.0,2150.0,101856002048,187100,0.64,0.67,0.9,-2.74,6609999872,99821000000.0,57255000000.0,57.36,6.49,1.02,1.74
6701.T,NEC,09-16 13:41,電機・IT,6.730555,2.8728602,14.16,40.0,4839.0,6234.615,3686849052672,2292400,0.42,0.38,2.5,1.77,300615991296,4466784000000.0,2196578000000.0,49.18,8.15,0.83,2.03
6702.T,富士通,09-16 13:41,電機・IT,25.919579,3.3513744,16.2,55.0,3932.0,4801.5386,3532488966144,3330700,0.41,0.53,1.13,3.74,317783015424,3399745000000.0,2024915000000.0,59.56,9.0,1.04,1.68
6703.T,沖電気工業,09-16 13:41,電機・IT,20.958956,1.379513,16.4,65.0,2732.0,4650.0,422695993344,330000,0.68,0.58,4.17,-0.8,25606000640,445211000000.0,180329000000.0,40.5,6.06,0.95,2.47
6752.T,パナソニックHD,09-16 13:41,電機,25.880959,1.8874233,5.25,54.0,4370.0,4858.6,8170945118208,4551600,0.61,0.63,2.92,0.15,253246996480,10172412000000.0,5211272000000.0,51.23,3.1,0.8,1.95
6753.T,シャープ,09-16 13:41,電機,12.506892,1.4990208,9.6,,680.5,660.0,1855524962304,2683400,0.49,0.78,0.46,5.01,23310000128,1428253000000.0,281850000000.0,19.73,1.26,1.3,5.07
